dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,0.01,2,0.97
96,0.01,2,0.98
128,0.01,2,0.98
160,0.01,2,0.99
192,0.01,2,0.99
224,0.01,2,0.99
256,0.01,2,0.99
288,0.01,2,0.99
320,0.01,2,0.99
352,0.01,2,0.99
384,0.01,2,0.99
416,0.01,2,1.0
448,0.01,2,1.0
480,0.01,2,1.0
512,0.01,2,1.0
544,0.01,2,1.0
576,0.01,2,1.0
608,0.01,2,1.0
640,0.01,2,1.0
672,0.01,2,1.0
704,0.01,2,1.0
736,0.01,2,1.0
768,0.01,2,1.0
800,0.01,2,1.0
832,0.01,2,1.0
864,0.01,2,1.0
896,0.01,2,1.0
928,0.01,2,1.0
960,0.01,2,1.0
992,0.01,2,1.0
1024,0.01,2,1.0
1056,0.01,2,1.0
1088,0.01,2,1.0
1120,0.01,2,1.0
1152,0.01,2,1.0
1184,0.01,2,1.0
1216,0.01,2,1.0
1248,0.01,2,1.0
1280,0.01,2,1.0
1312,0.01,2,1.0
1344,0.01,2,1.0
1376,0.01,2,1.0
1408,0.01,2,1.0
1440,0.01,2,1.0
1472,0.01,2,1.0
1504,0.01,2,1.0
1536,0.01,2,1.0
1568,0.01,2,1.0
1600,0.01,2,1.0
1632,0.01,2,1.0
1664,0.01,2,1.0
1696,0.01,2,1.0
1728,0.01,2,1.0
1760,0.01,2,1.0
1792,0.01,2,1.0
1824,0.01,2,1.0
1856,0.01,2,1.0
1888,0.01,2,1.0
1920,0.01,2,1.0
